run_id,has_model,model_path,has_env_config,has_train_config,timesteps,seed,topology_randomize,topology_seed,energy_weight,drop_penalty_lambda,qos_target_norm_drop,qos_min_volume,qos_violation_penalty_scale,qos_guard_margin,toggle_penalty,blocked_action_penalty,base_capacity,flows_per_step,traffic_model,has_robustness,files_count,folder_size_mb
20260113_171845,False,,True,False,,,False,0,100.0,0.037,,,,,0.005,,5.0,4,,False,3,0.0
20260114_173856,False,,True,False,,,False,0,10.0,0.01,,,,,0.01,,5.0,4,,False,3,0.0
20260114_174855,False,,True,False,,,False,0,10.0,0.01,,,,,0.01,,5.0,4,,False,3,0.0
20260114_175323,False,,True,False,,,False,0,10.0,0.01,,,,,0.01,,5.0,4,,False,3,0.0
20260114_180740,False,,True,False,,,False,0,10.0,0.01,,,,,0.01,,5.0,4,,False,3,0.0
20260114_181133,False,,True,False,,,False,0,10.0,0.01,,,,,0.01,,5.0,4,,False,3,0.0
20260114_193248,False,,True,False,,,False,0,10.0,0.01,,,,,0.01,,5.0,4,,False,3,0.0
20260114_193408,False,,True,False,,,False,0,10.0,0.01,,,,,0.01,,5.0,4,,False,3,0.0
20260114_193716,False,,True,False,,,False,0,8.0,0.2,,,,,0.001,,5.0,4,,False,3,0.0
20260114_193825,False,,True,False,,,False,0,8.0,0.2,,,,,0.001,,5.0,4,,False,3,0.0
20260114_200114,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_200227,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_201217,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_201342,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_201615,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_201658,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_201812,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_202113,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_202236,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_203058,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_203437,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_203600,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_203856,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_204021,False,,True,False,,,False,0,8.0,0.4,,,,,0.01,,5.0,4,,False,3,0.0
20260114_204237,False,,True,False,,,False,0,12.0,0.25,,,,,0.005,,5.0,4,,False,3,0.0
20260114_204349,False,,True,False,,,False,0,12.0,0.25,,,,,0.005,,5.0,4,,False,3,0.0
20260114_204557,False,,True,False,,,False,0,20.0,0.25,,,,,0.005,,5.0,4,,False,3,0.0
20260114_204707,False,,True,False,,,False,0,20.0,0.25,,,,,0.005,,5.0,4,,False,3,0.0
20260114_205230,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_205338,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_205647,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_205757,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_210010,False,,True,False,,,False,0,20.0,0.5,,,,,0.005,,5.0,4,,False,3,0.0
20260114_210119,False,,True,False,,,False,0,20.0,0.5,,,,,0.005,,5.0,4,,False,3,0.0
20260114_210554,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_210707,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_211024,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_211134,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_212928,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_213020,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_213156,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
20260114_213247,False,,True,False,,,False,0,20.0,0.4,,,,,0.005,,5.0,4,,False,3,0.0
