scope_type,scope,scenario,policy,policy_class,controller_policy,controller_policy_class,routing_baseline,routing_link_cost_model,routing_forwarding_model,routing_path_split,run_count,seed_count,episodes_total,steps_total,seed_list,comparison_baseline_policy,comparison_available,is_primary_baseline,is_best_policy_for_scope,is_best_ai_policy_for_scope,qos_acceptability_status,qos_acceptability_missing,hypothesis_status,energy_kwh_mean,energy_kwh_std,energy_kwh_count,energy_kwh_delta_vs_baseline,energy_reduction_pct_vs_baseline,delivered_traffic_mean,delivered_traffic_std,delivered_traffic_count,delivered_traffic_delta_vs_baseline,delivered_traffic_change_pct_vs_baseline,dropped_traffic_mean,dropped_traffic_std,dropped_traffic_count,dropped_traffic_delta_vs_baseline,dropped_traffic_change_pct_vs_baseline,avg_delay_ms_mean,avg_delay_ms_std,avg_delay_ms_count,avg_delay_ms_delta_vs_baseline,avg_delay_ms_change_pct_vs_baseline,avg_path_latency_ms_mean,avg_path_latency_ms_std,avg_path_latency_ms_count,avg_path_latency_ms_delta_vs_baseline,avg_path_latency_ms_change_pct_vs_baseline,qos_violation_rate_mean,qos_violation_rate_std,qos_violation_rate_count,qos_violation_rate_delta_vs_baseline,qos_violation_count_mean,qos_violation_count_std,qos_violation_count_count,qos_violation_count_total,qos_violation_count_delta_vs_baseline,carbon_g_mean,carbon_g_std,carbon_g_count,carbon_g_delta_vs_baseline,carbon_reduction_pct_vs_baseline
overall,ALL,ALL,all_on,baseline,all_on,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,30,10,1500,450000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,False,acceptable,,not_achieved,0.019999999999999907,0.0,30,0.0008006277777777189,-4.170072690455147,9061.354825133196,2862.8946630253904,30,278.00330064787886,3.1651164122589206,14800.132628694348,6260.026738972146,30,-277.1552695141145,-1.8382302665126335,6771.283802809901,2513.3823640388523,30,116.29704372104334,1.7475172818670746,17.906756932768992,2.463722153576766,30,-0.15042688734003562,-0.8330584040049238,0.7793911111111111,0.04960091616039585,30,-5.1111111111112884e-05,11690.866666666667,744.0137424059376,30,350726.0,-0.7666666666664241,0.08737535940824022,0.0,30,0.0034683988778560215,-4.133624738557957
overall,ALL,ALL,heuristic,baseline,heuristic,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,30,10,1500,450000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,True,True,False,acceptable,,not_achieved,0.019199372222222188,4.629934615879746e-05,30,0.0,0.0,8783.351524485317,2801.1368283991537,30,0.0,0.0,15077.287898208462,6350.969188458212,30,0.0,0.0,6654.986759088858,2309.758016563822,30,0.0,0.0,18.057183820109028,2.414050324509778,30,0.0,0.0,0.7794422222222223,0.04941073352677858,30,0.0,11691.633333333333,741.1610029016787,30,350749.0,0.0,0.0839069605303842,0.0002438645420327271,30,0.0,0.0
overall,ALL,ALL,ppo,ai,ppo,ai_enhanced,min_hop_single_path,unit,single_shortest_path,single_path,30,10,1500,450000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,True,acceptable,,not_achieved,0.019969259259259166,1.593023197605814e-07,30,0.000769887037036978,-4.009959430579076,9057.379165209572,2861.1891097788084,30,274.0276407242545,3.1198528256594154,14802.36408898446,6262.371030343052,30,-274.923809224003,-1.8234301227123904,6771.520244119228,2512.572034045385,30,116.53348503036977,1.751070126040709,17.9190327519169,2.4588267427225103,30,-0.1381510681921263,-0.7650753825647888,0.7793622222222222,0.04973032961835883,30,-8.000000000008001e-05,11690.433333333332,745.9549442753824,30,350713.0,-1.2000000000007276,0.08698660154579024,7.266637611706035e-06,30,0.0030796410154060455,-3.670304580143685
scenario,burst,burst,all_on,baseline,all_on,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,False,acceptable,,not_achieved,0.019999999999999907,0.0,10,0.0007352166666666146,-3.8163765143129886,13014.73061183875,21.63371536626767,10,392.0335436020214,3.105782714127867,23309.938783854774,94.04287305598372,10,-382.5534432673012,-1.6146610478967327,5057.0341333297565,7.146741024920082,10,-1.939087463204487,-0.03832966451047052,15.986813032674865,0.011038480629727928,10,-0.15883482949813477,-0.9837625027748971,0.8483333333333334,0.0010938210294396625,10,0.00012666666666671933,12725.0,16.407315441594946,10,127250.0,1.8999999999996362,0.08737535940824022,0.0,10,0.003123916682881228,-3.7078494822510084
scenario,burst,burst,heuristic,baseline,heuristic,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,True,True,False,acceptable,,not_achieved,0.019264783333333292,3.6011357947654736e-06,10,0.0,0.0,12622.697068236728,20.941287047299813,10,0.0,0.0,23692.492227122075,96.37004160539092,10,0.0,0.0,5058.973220792961,8.149293052660493,10,0.0,0.0,16.145647862173,0.011983314475732873,10,0.0,0.0,0.8482066666666667,0.0011025022045833214,10,0.0,12723.1,16.537533068750005,10,127231.0,0.0,0.08425144272535899,2.0193330595208454e-05,10,0.0,0.0
scenario,burst,burst,ppo,ai,ppo,ai_enhanced,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,True,acceptable,,not_achieved,0.01996905555555546,0.0,10,0.0007042722222221666,-3.655749509539435,13008.703672072628,21.646775991154076,10,386.0066038359,3.0580358678434285,23315.492970874202,93.8589074991454,10,-376.99925624787284,-1.5912182333283682,5057.184419983924,7.20043514929417,10,-1.7888008090367293,-0.03535896971513019,16.000375993308783,0.01122105185692176,10,-0.14527186886421717,-0.8997586848439132,0.8484666666666667,0.0010938210294396719,10,0.000260000000000038,12727.0,16.407315441594946,10,127270.0,3.899999999999636,0.08699436990816077,0.0,10,0.00274292718280178,-3.255644169492876
scenario,hotspot,hotspot,all_on,baseline,all_on,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,False,acceptable,,not_achieved,0.019999999999999907,0.0,10,0.0008333333333332728,-4.347826086956213,6328.347464076248,10.843581899284164,10,309.5511732187724,5.143074433155002,12657.588009081024,53.18135893910226,10,-309.40927430253396,-2.3861289359489857,10324.95356184252,16.43468038910937,10,403.82840507346737,4.070389181593386,21.384619290401368,0.026687358334666532,10,-0.07792562931413727,-0.363077303300387,0.7560733333333334,0.0009988660237155737,10,0.00031333333333338764,11341.1,14.982990355733397,10,113411.0,4.700000000000728,0.08737535940824022,0.0,10,0.0036406399753434043,-4.347826086956599
scenario,hotspot,hotspot,heuristic,baseline,heuristic,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,True,True,False,acceptable,,not_achieved,0.019166666666666634,0.0,10,0.0,0.0,6018.7962908574755,9.456694624640523,10,0.0,0.0,12966.997283383558,55.20823729401453,10,0.0,0.0,9921.125156769052,22.542642223578788,10,0.0,0.0,21.462544919715505,0.02647330026224874,10,0.0,0.0,0.75576,0.001012894641883128,10,0.0,11336.4,15.19341962824696,10,113364.0,0.0,0.08373471943289681,0.0,10,0.0,0.0
scenario,hotspot,hotspot,ppo,ai,ppo,ai_enhanced,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,True,acceptable,,not_achieved,0.019969277777777683,0.0,10,0.0008026111111110491,-4.187536231883741,6327.041329194833,10.887236513430173,10,308.245038337358,5.121373501302591,12658.550143962439,53.18135893910229,10,-308.4471394211196,-2.3787090617839213,10324.059827724446,16.521817630273496,10,402.9346709553938,4.0613807868402585,21.38979667812623,0.027561798462468184,10,-0.07274824158927373,-0.3389544057398671,0.7560733333333334,0.0009988660237155737,10,0.00031333333333338764,11341.1,14.982990355733397,10,113411.0,4.700000000000728,0.08698854363638286,0.0,10,0.00325382420348605,-3.885872223043148
scenario,normal,normal,all_on,baseline,all_on,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,False,acceptable,,not_achieved,0.019999999999999907,0.0,10,0.0008333333333332728,-4.347826086956213,7840.986399484592,10.17413424094843,10,132.4251851228446,1.7178975614298098,8432.871093147243,53.04989660272439,10,-139.50309097251375,-1.6273565289641918,4931.863713257428,16.266454218938094,10,-52.99818644713105,-1.063182642036124,16.348838475230746,0.011198591077965819,10,-0.21452020320784015,-1.2951491745879573,0.7337666666666667,0.0004688046264466291,10,-0.0005933333333333346,11006.5,7.032069396699666,10,110065.0,-8.899999999999636,0.08737535940824022,0.0,10,0.0036406399753434043,-4.347826086956599
