scope_type,scope,scenario,policy,policy_class,controller_policy,controller_policy_class,routing_baseline,routing_link_cost_model,routing_forwarding_model,routing_path_split,run_count,seed_count,episodes_total,steps_total,seed_list,comparison_baseline_policy,comparison_available,is_primary_baseline,is_best_policy_for_scope,is_best_ai_policy_for_scope,qos_acceptability_status,qos_acceptability_missing,hypothesis_status,energy_kwh_mean,energy_kwh_std,energy_kwh_count,energy_kwh_delta_vs_baseline,energy_reduction_pct_vs_baseline,delivered_traffic_mean,delivered_traffic_std,delivered_traffic_count,delivered_traffic_delta_vs_baseline,delivered_traffic_change_pct_vs_baseline,dropped_traffic_mean,dropped_traffic_std,dropped_traffic_count,dropped_traffic_delta_vs_baseline,dropped_traffic_change_pct_vs_baseline,avg_delay_ms_mean,avg_delay_ms_std,avg_delay_ms_count,avg_delay_ms_delta_vs_baseline,avg_delay_ms_change_pct_vs_baseline,avg_path_latency_ms_mean,avg_path_latency_ms_std,avg_path_latency_ms_count,avg_path_latency_ms_delta_vs_baseline,avg_path_latency_ms_change_pct_vs_baseline,qos_violation_rate_mean,qos_violation_rate_std,qos_violation_rate_count,qos_violation_rate_delta_vs_baseline,qos_violation_count_mean,qos_violation_count_std,qos_violation_count_count,qos_violation_count_total,qos_violation_count_delta_vs_baseline,carbon_g_mean,carbon_g_std,carbon_g_count,carbon_g_delta_vs_baseline,carbon_reduction_pct_vs_baseline
overall,ALL,ALL,all_on,baseline,all_on,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,30,10,1500,450000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,False,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.0199999999999999,0.0,30,0.0008006277777777536,-4.170072690455337,9061.354825133196,2862.8946630253904,30,278.00330064787886,3.1651164122589206,14800.132628694348,6260.026738972146,30,-277.1552695141145,-1.8382302665126335,6771.283802809901,2513.3823640388523,30,116.29704372104334,1.7475172818670746,,,0,,,,,0,,,,0,,,0.0873753594082402,0.0,30,0.0034683988778560215,-4.133624738557957
overall,ALL,ALL,heuristic,baseline,heuristic,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,30,10,1500,450000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,True,True,False,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.019199372222222146,4.629934615879377e-05,30,0.0,0.0,8783.351524485317,2801.1368283991537,30,0.0,0.0,15077.287898208462,6350.969188458212,30,0.0,0.0,6654.986759088858,2309.7580165638224,30,0.0,0.0,,,0,,,,,0,,,,0,,,0.08390696053038418,0.00024386454203272442,30,0.0,0.0
overall,ALL,ALL,ppo,ai,ppo,ai_enhanced,min_hop_single_path,unit,single_shortest_path,single_path,30,10,1500,450000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,True,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.0199692592592591,1.593023197636735e-07,30,0.0007698870370369537,-4.009959430578958,9057.379165209572,2861.1891097788084,30,274.0276407242545,3.1198528256594154,14802.36408898446,6262.371030343052,30,-274.923809224003,-1.8234301227123904,6771.520244119228,2512.572034045385,30,116.53348503036977,1.751070126040709,,,0,,,,,0,,,,0,,,0.08698660154579016,7.266637611712217e-06,30,0.003079641015405976,-3.670304580143603
scenario,burst,burst,all_on,baseline,all_on,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,False,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.0199999999999999,0.0,10,0.0007352166666666493,-3.8163765143131765,13014.730611838751,21.633715366267722,10,392.0335436020232,3.1057827141278813,23309.938783854774,94.0428730559839,10,-382.5534432673012,-1.6146610478967327,5057.0341333297565,7.146741024920082,10,-1.939087463204487,-0.03832966451047052,,,0,,,,,0,,,,0,,,0.0873753594082402,0.0,10,0.003123916682881228,-3.7078494822510093
scenario,burst,burst,heuristic,baseline,heuristic,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,True,True,False,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.01926478333333325,3.6011357947745855e-06,10,0.0,0.0,12622.697068236728,20.941287047300058,10,0.0,0.0,23692.492227122075,96.37004160539047,10,0.0,0.0,5058.973220792961,8.149293052660493,10,0.0,0.0,,,0,,,,,0,,,,0,,,0.08425144272535898,2.0193330595205787e-05,10,0.0,0.0
scenario,burst,burst,ppo,ai,ppo,ai_enhanced,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,True,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.0199690555555554,0.0,10,0.0007042722222221492,-3.655749509539353,13008.703672072628,21.6467759911541,10,386.0066038359,3.0580358678434285,23315.492970874202,93.8589074991454,10,-376.99925624787284,-1.5912182333283682,5057.184419983924,7.20043514929417,10,-1.7888008090367293,-0.03535896971513019,,,0,,,,,0,,,,0,,,0.0869943699081607,0.0,10,0.0027429271828017243,-3.2556441694928107
scenario,hotspot,hotspot,all_on,baseline,all_on,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,False,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.0199999999999999,0.0,10,0.0008333333333333005,-4.347826086956366,6328.347464076248,10.843581899284164,10,309.5511732187724,5.143074433155002,12657.588009081024,53.181358939102395,10,-309.40927430253396,-2.3861289359489857,10324.95356184252,16.43468038910958,10,403.82840507346737,4.070389181593386,,,0,,,,,0,,,,0,,,0.0873753594082402,0.0,10,0.0036406399753434043,-4.3478260869566
scenario,hotspot,hotspot,heuristic,baseline,heuristic,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,True,True,False,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.0191666666666666,0.0,10,0.0,0.0,6018.7962908574755,9.456694624640523,10,0.0,0.0,12966.997283383558,55.208237294014104,10,0.0,0.0,9921.125156769052,22.542642223578856,10,0.0,0.0,,,0,,,,,0,,,,0,,,0.0837347194328968,0.0,10,0.0,0.0
scenario,hotspot,hotspot,ppo,ai,ppo,ai_enhanced,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,True,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.0199692777777776,0.0,10,0.0008026111111110006,-4.187536231883496,6327.041329194833,10.887236513430173,10,308.245038337358,5.121373501302591,12658.550143962439,53.181358939102395,10,-308.4471394211196,-2.3787090617839213,10324.059827724446,16.52181763027346,10,402.9346709553938,4.0613807868402585,,,0,,,,,0,,,,0,,,0.0869885436363828,0.0,10,0.0032538242034859943,-3.8858722230430818
scenario,normal,normal,all_on,baseline,all_on,traditional_baseline,min_hop_single_path,unit,single_shortest_path,single_path,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",heuristic,True,False,False,False,insufficient_data,"avg_path_latency_ms,qos_violation_rate",insufficient_data,0.0199999999999999,0.0,10,0.0008333333333333005,-4.347826086956366,7840.986399484592,10.17413424094843,10,132.4251851228446,1.7178975614298098,8432.871093147243,53.04989660272439,10,-139.50309097251375,-1.6273565289641918,4931.863713257428,16.266454218938094,10,-52.99818644713105,-1.063182642036124,,,0,,,,,0,,,,0,,,0.0873753594082402,0.0,10,0.0036406399753434043,-4.3478260869566
