scenario,policy,energy_kwh_total_mean,dropped_total_mean,reward_total_mean,qos_violation_rate_mean,delta_energy_vs_heuristic,delta_dropped_vs_heuristic,delta_reward_vs_heuristic,delta_qos_violation_rate_vs_heuristic,delta_energy_vs_all_on,delta_dropped_vs_all_on,delta_reward_vs_all_on,delta_qos_violation_rate_vs_all_on
custom,all_on,0.017780704365079347,630.0,-1531.920905577636,0.475,0.00044732523148149905,0.0,5.71710699073833,0.0,0.0,0.0,0.0,0.0
custom,heuristic,0.017333379133597848,630.0,-1537.6380125683743,0.475,0.0,0.0,0.0,0.0,-0.00044732523148149905,0.0,-5.71710699073833,0.0
custom,ppo,0.017780704365079347,630.0,-1531.920905577636,0.475,0.00044732523148149905,0.0,5.71710699073833,0.0,0.0,0.0,0.0,0.0
diurnal,all_on,0.015551545852890519,7264.175245526845,-6348.27705168383,0.9011000000000001,0.0008554738399393774,-462.48358302404085,374.49682921631756,0.0,0.0,0.0,0.0,0.0
diurnal,heuristic,0.014696072012951141,7726.658828550886,-6722.773880900148,0.9011000000000001,0.0,0.0,0.0,0.0,-0.0008554738399393774,462.48358302404085,-374.49682921631756,0.0
diurnal,ppo,0.01493634346926076,7378.832047273519,-6442.461332348317,0.9011000000000001,0.0002402714563096188,-347.82678127736744,280.31254855183033,0.0,-0.0006152023836297586,114.65680174667341,-94.18428066448723,0.0
flash_crowd,all_on,0.023939780034585002,85467.69205517133,-12697.281243223131,0.9696666666666667,0.0001270096181574011,-81.69229260791326,9.932938540756368,0.0,0.0,0.0,0.0,0.0
flash_crowd,heuristic,0.0238127704164276,85549.38434777924,-12707.214181763888,0.9696666666666667,0.0,0.0,0.0,0.0,-0.0001270096181574011,81.69229260791326,-9.932938540756368,0.0
flash_crowd,ppo,0.02391383688351706,85454.04047813774,-12677.259400043931,0.9696666666666667,0.00010106646708945774,-95.34386964149598,29.954781719956372,0.0,-2.594315106794337e-05,-13.651577033582726,20.021843179200005,0.0
hotspot,all_on,0.01568687130723976,10475.889788174816,-7386.679535226322,0.9405333333333334,0.0005489612696781398,-559.1031747442576,380.03004134831554,0.0,0.0,0.0,0.0,0.0
hotspot,heuristic,0.01513791003756162,11034.992962919074,-7766.709576574637,0.9405333333333334,0.0,0.0,0.0,0.0,-0.0005489612696781398,559.1031747442576,-380.03004134831554,0.0
hotspot,ppo,0.015238486931897038,10626.577512887041,-7484.394776399868,0.9405333333333334,0.00010057689433541801,-408.4154500320328,282.3148001747695,0.0,-0.00044838437534272177,150.68772471222474,-97.71524117354602,0.0
normal,all_on,0.012553837585046041,7609.554454028548,-6413.104410545745,0.9328999999999998,0.0003503553995968002,-400.8003317096909,297.48389979866715,0.0,0.0,0.0,0.0,0.0
normal,heuristic,0.012203482185449241,8010.354785738239,-6710.588310344412,0.9328999999999998,0.0,0.0,0.0,0.0,-0.0003503553995968002,400.8003317096909,-297.48389979866715,0.0
normal,ppo,0.01226575191080664,7996.230059823376,-6700.600936983379,0.9328999999999998,6.226972535739936e-05,-14.12472591486312,9.987373361032951,0.0,-0.00028808567423940085,386.6756057948278,-287.4965264376342,0.0
