matrix_id,matrix_name,matrix_manifest,matrix_case_id,matrix_case_label,run_id,policy,policy_class,controller_policy,controller_policy_class,scenario,seed,tag,created_at_utc,episodes,max_steps,deterministic,topology_seed,topology_name,topology_path,traffic_seed,traffic_seed_base,traffic_mode,traffic_model,traffic_name,traffic_path,traffic_scenario,traffic_scenario_version,traffic_scenario_intensity,traffic_scenario_duration,traffic_scenario_frequency,qos_policy_name,qos_policy_signature,qos_target_norm_drop,qos_min_volume,qos_avg_delay_guard_multiplier,qos_avg_delay_guard_margin_ms,stability_policy_name,stability_policy_signature,stability_reversal_window_steps,stability_reversal_penalty,stability_max_transition_rate,stability_max_flap_rate,stability_max_flap_count,energy_model_name,energy_model_signature,power_utilization_sensitive,power_transition_on_joules,power_transition_off_joules,carbon_model_name,routing_baseline,routing_link_cost_model,reward_total_mean,delivered_total_mean,dropped_total_mean,energy_kwh_total_mean,energy_steady_kwh_total_mean,energy_transition_kwh_total_mean,carbon_g_total_mean,power_total_watts_mean,power_fixed_watts_mean,power_variable_watts_mean,power_transition_watts_mean,active_devices_mean,active_links_mean,avg_utilization_mean,active_ratio_mean,delivery_loss_rate_mean,avg_delay_ms_mean,avg_path_latency_ms_mean,qos_violation_rate_mean,qos_violation_count_mean,qos_acceptance_status,qos_acceptance_missing,transition_count_total_mean,transition_on_count_total_mean,transition_off_count_total_mean,transition_rate_mean,flap_event_count_total_mean,flap_rate_mean,stability_status,stability_missing,results_dir,status,error
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_crowd,Large topology / flash crowd,20260410_153558,all_on,traditional_baseline,all_on,traditional_baseline,flash_crowd,0,official_acceptance_v1,2026-04-10T15:35:58.214090+00:00,20,300,True,0,large,,10000,10000,stochastic,stochastic,,,flash_crowd,2.0,1.0,1.0,1.0,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-12675.044073836209,14867.182240302636,84917.71775969738,0.0239374497842591,0.0239374497842591,0.0,9.581512143063142,287.2493974111092,260.0,27.24939741110926,0.0,12.0,16.0,0.37824244406664,1.0,0.8484555462292148,3898.1790064636216,10.916211655825354,0.9706666666666668,291.2,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153558__policy-all_on__scenario-flash_crowd__seed-0__tag-official_acceptance_v1,ok,
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_crowd,Large topology / flash crowd,20260410_153617,all_on,traditional_baseline,all_on,traditional_baseline,flash_crowd,1,official_acceptance_v1,2026-04-10T15:36:17.748450+00:00,20,300,True,0,large,,10001,10001,stochastic,stochastic,,,flash_crowd,2.0,1.0,1.0,1.0,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-12714.444049974309,14911.977489332075,85078.12251066792,0.0239399716815238,0.0239399716815238,0.0,9.582521819617927,287.2796601782867,260.0,27.27966017828673,0.0,12.0,16.0,0.3787252060692484,1.0,0.8483189157352345,3889.8688906367743,10.893232036880226,0.971,291.3,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153617__policy-all_on__scenario-flash_crowd__seed-1__tag-official_acceptance_v1,ok,
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_crowd,Large topology / flash crowd,20260410_153637,all_on,traditional_baseline,all_on,traditional_baseline,flash_crowd,2,official_acceptance_v1,2026-04-10T15:36:37.433872+00:00,20,300,True,0,large,,10002,10002,stochastic,stochastic,,,flash_crowd,2.0,1.0,1.0,1.0,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-12740.71952400634,14968.6630204077,86112.9369795923,0.0239463945084799,0.0239463945084799,0.0,9.5850933248792,287.35673410175883,260.0,27.35673410175886,0.0,12.0,16.0,0.3799175643860357,1.0,0.8495261724645976,3885.771714723171,10.885643979775631,0.97,291.0,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153637__policy-all_on__scenario-flash_crowd__seed-2__tag-official_acceptance_v1,ok,
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_crowd,Large topology / flash crowd,20260410_153657,all_on,traditional_baseline,all_on,traditional_baseline,flash_crowd,3,official_acceptance_v1,2026-04-10T15:36:57.529208+00:00,20,300,True,0,large,,10003,10003,stochastic,stochastic,,,flash_crowd,2.0,1.0,1.0,1.0,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-12682.208632607046,14899.069433573546,85243.23056642644,0.0239364133816657,0.0239364133816657,0.0,9.581099814975412,287.2369605799887,260.0,27.236960579988768,0.0,12.0,16.0,0.3783075947824907,1.0,0.848932057960214,3877.427037098748,10.883858213800377,0.9676666666666666,290.3,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153657__policy-all_on__scenario-flash_crowd__seed-3__tag-official_acceptance_v1,ok,
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_crowd,Large topology / flash crowd,20260410_153717,all_on,traditional_baseline,all_on,traditional_baseline,flash_crowd,4,official_acceptance_v1,2026-04-10T15:37:17.258343+00:00,20,300,True,0,large,,10004,10004,stochastic,stochastic,,,flash_crowd,2.0,1.0,1.0,1.0,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-12673.98993569175,14958.797540527434,85986.45245947255,0.0239386708169965,0.0239386708169965,0.0,9.582002143497782,287.2640498039581,260.0,27.264049803958123,0.0,12.0,16.0,0.3789375566109747,1.0,0.8496363646712369,3869.9701713584654,10.86919383231182,0.969,290.7,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153717__policy-all_on__scenario-flash_crowd__seed-4__tag-official_acceptance_v1,ok,
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_replay,Large topology / replay flash bursts,20260410_153736,all_on,traditional_baseline,all_on,traditional_baseline,custom,0,official_acceptance_v1,2026-04-10T15:37:36.919373+00:00,20,300,True,0,large,,10000,10000,replay,uniform,backbone_large_flash_crowd_bursts,,,,,,,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-3063.339061155272,7440.0,1260.0,0.0229926587301587,0.0229926587301587,0.0,9.203312149188852,275.9119047619046,260.0,15.911904761904776,0.0,12.0,16.0,0.1952380952380953,1.0,0.1448275862068965,3621.3699219678338,11.2,0.95,285.0,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153736__policy-all_on__scenario-custom__seed-0__tag-official_acceptance_v1,ok,
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_replay,Large topology / replay flash bursts,20260410_153747,all_on,traditional_baseline,all_on,traditional_baseline,custom,1,official_acceptance_v1,2026-04-10T15:37:47.073617+00:00,20,300,True,0,large,,10001,10001,replay,uniform,backbone_large_flash_crowd_bursts,,,,,,,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-3063.339061155272,7440.0,1260.0,0.0229926587301587,0.0229926587301587,0.0,9.203312149188852,275.9119047619046,260.0,15.911904761904776,0.0,12.0,16.0,0.1952380952380953,1.0,0.1448275862068965,3621.3699219678338,11.2,0.95,285.0,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153747__policy-all_on__scenario-custom__seed-1__tag-official_acceptance_v1,ok,
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_replay,Large topology / replay flash bursts,20260410_153757,all_on,traditional_baseline,all_on,traditional_baseline,custom,2,official_acceptance_v1,2026-04-10T15:37:57.246796+00:00,20,300,True,0,large,,10002,10002,replay,uniform,backbone_large_flash_crowd_bursts,,,,,,,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-3063.339061155272,7440.0,1260.0,0.0229926587301587,0.0229926587301587,0.0,9.203312149188852,275.9119047619046,260.0,15.911904761904776,0.0,12.0,16.0,0.1952380952380953,1.0,0.1448275862068965,3621.3699219678338,11.2,0.95,285.0,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153757__policy-all_on__scenario-custom__seed-2__tag-official_acceptance_v1,ok,
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_replay,Large topology / replay flash bursts,20260410_153807,all_on,traditional_baseline,all_on,traditional_baseline,custom,3,official_acceptance_v1,2026-04-10T15:38:07.402311+00:00,20,300,True,0,large,,10003,10003,replay,uniform,backbone_large_flash_crowd_bursts,,,,,,,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-3063.339061155272,7440.0,1260.0,0.0229926587301587,0.0229926587301587,0.0,9.203312149188852,275.9119047619046,260.0,15.911904761904776,0.0,12.0,16.0,0.1952380952380953,1.0,0.1448275862068965,3621.3699219678338,11.2,0.95,285.0,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153807__policy-all_on__scenario-custom__seed-3__tag-official_acceptance_v1,ok,
official_acceptance_v1,GreenNet Official Acceptance Matrix v1,/Users/oltazagraxha/Desktop/GreenNet/configs/acceptance_matrices/official_acceptance_v1.json,large_flash_replay,Large topology / replay flash bursts,20260410_153817,all_on,traditional_baseline,all_on,traditional_baseline,custom,4,official_acceptance_v1,2026-04-10T15:38:17.497739+00:00,20,300,True,0,large,,10004,10004,replay,uniform,backbone_large_flash_crowd_bursts,,,,,,,official_qos_v1,cd79f73b2e68,0.072,500.0,4.0,15.0,official_stability_v1,6532b0431241,20,0.05,0.02,0.25,2,active_sleep_linear,"active_sleep_linear|net=20|dev=12,2,3|link=6,0.2,2|util=1|transition_j=0,0|diurnal_sinusoid|base=400|amplitude=25|period_s=86400",True,0.0,0.0,diurnal_sinusoid,min_hop_single_path,unit,-3063.339061155272,7440.0,1260.0,0.0229926587301587,0.0229926587301587,0.0,9.203312149188852,275.9119047619046,260.0,15.911904761904776,0.0,12.0,16.0,0.1952380952380953,1.0,0.1448275862068965,3621.3699219678338,11.2,0.95,285.0,not_acceptable,,0.0,0.0,0.0,0.0,0.0,0.0,stable,,results/20260410_153817__policy-all_on__scenario-custom__seed-4__tag-official_acceptance_v1,ok,
