scenario,seed,episode_seed,steps,mean_demand,max_demand
burst,0,0,300,105.38666666666667,505.0
burst,1,1,300,124.98,594.0
burst,2,2,300,126.69333333333333,564.0
burst,3,3,300,96.44333333333333,411.0
burst,4,4,300,111.97,620.0
hotspot,0,0,300,73.52333333333333,446.0
hotspot,1,1,300,61.93,374.0
hotspot,2,2,300,64.8,322.0
hotspot,3,3,300,49.583333333333336,163.0
hotspot,4,4,300,66.21,328.0
normal,0,0,300,57.45333333333333,289.0
normal,1,1,300,58.98,322.0
normal,2,2,300,53.28,381.0
normal,3,3,300,57.16,214.0
normal,4,4,300,65.11333333333333,262.0
